Altitude          Density     Speed of Sound
(Feet)             (d)         (Knots)
     0          .002377          661.7
 1,000          .002308          659.5
 2,000          .002241          657.2
 3,000          .002175          654.9
 4,000          .002111          652.6
 5,000          .002048          650.3
 6,000          .001987          647.9
 7,000          .001927          645.6
 8,000          .001868          643.3
 9,000          .001811          640.9
10,000          .001755          638.6
15,000          .001496          626.7
20,000          .001266          614.6
25,000          .001065          602.2
30,000          .000889          589.5
35,000          .000737          576.6
36,089*         .000706          573.8
40,000          .000585          573.8
45,000          .000460          573.8
50,000          .000362          573.8
55,000          .000285          573.8
